Entity,Deaths
Afghanistan,5.357684280893089
Albania,0.0
Algeria,0.021125522279927512
American Samoa,0.0
Andean Latin America,0.1316875895721446
Andorra,0.0
Angola,44.57030857133585
Antigua and Barbuda,0.0
Argentina,0.011981707406524763
Armenia,0.006898064711979249
Australasia,0.0
Australia,0.0
Austria,0.0
Azerbaijan,0.019114202527692248
Bahamas,0.0
Bahrain,0.0
Bangladesh,5.921711816747243
Barbados,0.0
Belarus,0.0
Belgium,0.0
Belize,0.16654722141535797
Benin,93.784892632875
Bermuda,0.0
Bhutan,5.321096905996784
Bolivia,0.1461371203188157
Bosnia and Herzegovina,0.0
Botswana,0.34887297177476345
Brazil,0.11424092665978945
Brunei,0.0
Bulgaria,0.0
Burkina Faso,171.57983293742382
Burundi,154.09936142872576
Cambodia,12.36134003736123
Cameroon,116.0256474012544
Canada,0.0
Cape Verde,0.405293689101959
Caribbean,0.09661316134883743
Central African Republic,95.77930008202345
Central Asia,0.03406890049872053
Central Europe,9.656512712276482e-05
"Central Europe, Eastern Europe, and Central Asia",0.008947450749980752
Central Latin America,0.12149814205350673
Central Sub-Saharan Africa,117.81805648468743
Chad,65.63860575550402
Chile,0.0
China,0.011330357130177186
Colombia,0.21457642477680805
Comoros,0.5005589928123411
Congo,75.98235561134625
Costa Rica,0.013122979473130309
Cote d'Ivoire,139.20036112398364
Croatia,0.0
Cuba,0.0
Cyprus,0.0
Czech Republic,0.0005560009182996061
Democratic Republic of Congo,144.87599691542138
Denmark,0.0
Djibouti,0.319287656370668
Dominica,0.0
Dominican Republic,0.03308247631176963
East Asia,0.011116405393901343
Eastern Europe,0.0
Eastern Sub-Saharan Africa,59.8507407535843
Ecuador,0.26276070791215933
Egypt,0.0
El Salvador,0.02087362837310827
England,0.0
Equatorial Guinea,130.52745320950768
Eritrea,0.28013902999363033
Estonia,0.0
Ethiopia,21.12940424122431
Fiji,0.0
Finland,0.0
France,0.006968607911429073
Gabon,68.41090995407353
Gambia,41.39123092701197
Georgia,0.006771284303206648
Germany,0.006259510332605918
Ghana,123.60875817351179
Greece,0.0005283329508449182
Greenland,0.0
Grenada,0.0
Guam,0.0
Guatemala,0.7578377245849213
Guinea,108.34276189657298
Guinea-Bissau,57.328809011555904
Guyana,2.5965456968756575
Haiti,0.13704518924065753
High SDI,0.001687421669606172
High-income,0.0019743316785242305
High-income Asia Pacific,0.00257992260145525
High-middle SDI,0.07542713570415002
Honduras,0.5411147211120572
Hungary,0.0
Iceland,0.0
India,6.00586632454156
Indonesia,4.64664844147017
Iran,0.019972382795527044
Iraq,0.020392768011558933
Ireland,0.0
Israel,0.0
Italy,0.0007384718935449091
Jamaica,0.0
Japan,0.0
Jordan,0.0
